p_DA,p_H,h_H,p_IM,E_RE,E_FC,lambda_DA_RE,lambda_IM
-10.0,10.0,154.4133708970593,8.823529411764707,8.823529411764707,10.0,37.94,37.929375
7.011166685118282,10.0,154.4133708970593,-8.383715704726125,8.627450980392158,8.672713864737034,37.9,37.889229
5.581902881259799,10.0,154.4133708970593,-8.032883273416662,7.549019607843137,8.308891308772449,38.11,38.099316
10.0,10.0,154.4133708970593,-13.382352941176471,6.617647058823529,10.0,37.91,25.993229
10.0,10.0,154.4133708970593,-15.882352941176471,4.117647058823529,3.7180300115046947,38.44,38.429836
9.414663853402008,10.0,154.4133708970593,-17.79701679457848,1.617647058823529,2.7018666012772643,40.47,40.458443
1.5553445447352656,10.0,154.4133708970593,-10.23181513297056,1.3235294117647058,4.0058440289839865,41.35,41.338936
-8.450297162986773,10.0,154.4133708970593,0.9993167708299104,2.549019607843137,4.3171154663328695,33.37,33.360989
-10.0,10.0,154.4133708970593,5.147058823529411,5.147058823529411,2.358336955030773,28.89,28.882257
-10.0,10.0,154.4133708970593,8.627450980392158,8.627450980392158,8.493879473235504,27.7,27.692657
-10.0,10.0,154.4133708970593,9.068627450980394,9.068627450980392,10.0,25.7,25.69215
-10.0,10.0,154.4133708970593,9.656862745098039,9.65686274509804,9.66452975050386,22.04,25.993229
-6.993904912660398,10.0,154.4133708970593,6.846846089130985,9.852941176470587,9.482092549352291,21.73,25.198378
-1.7417747226468103,10.0,154.4133708970593,1.6437355069605353,9.901960784313726,10.0,15.95,15.949204
-3.685923822277896,10.0,154.4133708970593,3.587884606591622,9.901960784313726,9.62307554624168,16.23,16.228874
-4.228455643619862,10.0,154.4133708970593,4.081396820090449,9.852941176470587,8.918483638388125,6.45,28.998674
-7.829232995658462,10.0,154.4133708970593,7.7311937799721875,9.901960784313726,9.623874627343788,3.83,30.999184
-4.455601214177172,10.0,154.4133708970593,4.3575619984908975,9.901960784313726,9.629263633106529,0.12,30.999184
-1.653609269090218,10.0,154.4133708970593,1.5555700534039438,9.901960784313726,10.0,0.07,30.999184
-10.0,10.0,154.4133708970593,9.901960784313726,9.901960784313726,10.0,19.07,30.698103
-9.526792618372525,10.0,154.4133708970593,9.428753402686251,9.901960784313726,8.594447532620686,17.49,30.698103
-3.0887436492171405,10.0,154.4133708970593,2.9907044335308655,9.901960784313726,9.116779579210837,23.98,30.999184
-10.0,10.0,154.4133708970593,9.607843137254903,9.607843137254902,8.810275549015055,8.8,30.999184
-10.0,10.0,154.4133708970593,9.754901960784313,9.754901960784313,9.692932692856012,17.95,30.999184
-10.0,10.0,154.4133708970593,9.852941176470587,9.852941176470587,7.842699437590256,19.5,30.698103
-3.893971452536361,10.0,154.4133708970593,3.7959322368500867,9.901960784313726,9.783421777289712,13.74,29.99826
-8.43209888852709,10.0,154.4133708970593,8.334059672840816,9.901960784313726,8.327961584311701,17.42,29.99826
