p_DA,p_H,h_H,p_IM,E_RE,E_FC,lambda_DA_RE,lambda_IM,revenue
-4.365430356918347,10.0,154.4133708970593,-2.399275525434594,3.235294117647059,3.549505822724316,30.78,19.989561,435.3250727308086
-1.8027518782675132,10.0,154.4133708970593,-6.285483415850135,1.911764705882352,1.786677194524583,30.64,19.989561,436.773111882496
10.0,10.0,154.4133708970593,-18.431372549019606,1.5686274509803921,1.389104769173922,30.43,19.989561,553.5184377058845
-5.996413971941271,10.0,154.4133708970593,-1.2584879888430436,2.745098039215686,2.4835384984696027,28.79,22.988798,416.08559917510905
9.53690303907381,10.0,154.4133708970593,-16.644746176328713,2.8921568627450975,1.3936286934038111,28.42,22.714437,510.6162295555054
3.518321441231597,10.0,154.4133708970593,-10.577144970643362,2.9411764705882346,2.441667559219845,28.75,22.988798,475.6493758768095
-9.619553662537632,10.0,154.4133708970593,2.0705340546944946,2.450980392156862,3.766354237737267,34.16,22.488256,335.61223035463956
-10.0,10.0,154.4133708970593,2.1568627450980387,2.156862745098039,3.231680927271811,42.07,22.268766,244.9841553529431
-6.420444148924359,10.0,154.4133708970593,-1.0795558510756411,2.5,3.573559264241028,44.89,22.488256,305.16241739773585
-5.75605016409602,10.0,154.4133708970593,-1.9890478751196667,2.254901960784313,0.9559179361344081,45.26,22.988798,311.40883334779613
-10.0,10.0,154.4133708970593,2.8921568627450966,2.8921568627450975,1.7659296595719989,45.57,23.988544,231.33211574509997
-10.0,10.0,154.4133708970593,3.7745098039215677,3.774509803921568,1.544207817105623,45.09,24.988289,261.07202540196266
-10.0,1.5,24.54459510515657,12.07843137254902,3.5784313725490193,4.0216937300585585,45.16,24.988289,-51.60228577545206
-7.740679316121232,8.938023545199286,140.43251545571425,1.5967734179807689,2.794117647058823,0.074412646836342,44.9,24.988289,254.07419616503495
-2.891498216734285,8.191556808232633,130.36065697661132,-1.7216272189493287,3.5784313725490193,3.228968686317568,44.06,25.986696,349.303813312971
10.0,10.0,154.4133708970593,-16.323529411764707,3.676470588235294,9.493952953938487,44.84,25.986696,641.8588871176489
10.0,10.0,154.4133708970593,-15.931372549019608,4.068627450980392,1.161458472247124,44.4,27.486984,623.748101235296
10.0,10.0,154.4133708970593,-15.147058823529413,4.852941176470588,6.913149255808076,46.05,46.027115,380.97806520588415
-0.3138821301937682,10.0,154.4133708970593,-3.215529634512114,6.470588235294118,6.2861839483522814,46.72,25.986696,519.4279193745269
3.7659829589069513,10.0,154.4133708970593,-4.942453547142245,8.823529411764707,10.0,45.26,25.305477,663.0307277475894
-10.0,10.0,154.4133708970593,8.774509803921568,8.774509803921568,8.894574040143935,39.32,20.243847,402.08331755882546
-10.0,10.0,154.4133708970593,7.990196078431374,7.990196078431373,7.8176569269329494,30.1,16.492458,448.4314568235314
