p_DA,p_H,h_H,p_IM,E_RE,E_FC,lambda_DA_RE,lambda_IM,revenue
-7.815022027261526,4.574006151359892,77.86339199603148,6.476309993548693,3.235294117647059,3.549505822724316,30.78,19.989561,44.63899966390437
-4.896969404173854,6.573016539025382,107.72285189096169,0.2357175710308237,1.911764705882352,1.786677194524583,30.64,19.989561,70.11445200292899
1.3307751969035575,5.044913118096783,85.12600312268783,-4.807060864019949,1.5686274509803921,1.389104769173922,30.43,19.989561,114.65645911511146
-6.742439837992105,10.0,154.4133708970593,-0.5124621227922095,2.745098039215686,2.4835384984696027,28.79,22.988798,102.93101063480462
-4.903710571132361,10.0,154.4133708970593,-2.2041325661225413,2.8921568627450975,1.3936286934038111,28.42,22.714437,119.3976570496981
-2.3197777401417756,10.0,154.4133708970593,-4.73904578926999,2.9411764705882346,2.441667559219845,28.75,22.988798,133.18816540276418
-2.2868478616022907,2.1923966083026247,37.84822498630865,2.545431645456528,2.450980392156862,3.766354237737267,34.16,22.488256,54.8200454938107
-1.389592844795834,1.7310446906989014,29.109055900652084,1.8154108991949718,2.156862745098039,3.231680927271811,42.07,22.268766,40.18490132876585
1.374426850308197,2.879524506675656,50.11802235491702,-1.753951356983853,2.5,3.573559264241028,44.89,22.488256,122.49075889276871
-8.75704496482474,3.5756102129743503,61.87112932918188,7.436336712634702,2.254901960784313,0.9559179361344081,45.26,22.988798,-101.64915390286075
-7.479176111485563,3.7190666703887425,64.22557092729599,6.652266303841919,2.8921568627450975,1.7659296595719989,45.57,23.988544,-52.79673061637587
-1.6919132187861718,1.5,24.54459510515657,3.9664230227077404,3.774509803921568,1.544207817105623,45.09,24.988289,71.91494796291923
-0.7668804991729319,1.5,24.54459510515657,2.845311871721951,3.5784313725490193,4.0216937300585585,45.16,24.988289,85.55634221338258
-5.198036996201131,1.528503833564523,25.115027712715484,6.46365080969543,2.794117647058823,0.074412646836342,44.9,24.988289,-21.64623127624637
-0.8867063128579309,4.435845261464696,75.70123317909001,0.02929242394225451,3.5784313725490193,3.228968686317568,44.06,25.986696,113.09539952975008
2.3912526447993585,3.0113253979267296,52.389358924986546,-1.7261074544907942,3.676470588235294,9.493952953938487,44.84,25.986696,167.14665675959023
1.5297132508559033,1.5,24.54459510515657,1.0389142001244887,4.068627450980392,1.161458472247124,44.4,27.486984,145.56507654450985
9.808485644156685,1.5,24.54459510515657,-6.455544467686097,4.852941176470588,6.913149255808076,46.05,46.027115,203.63986652192665
3.9592991809416045,2.3108476934622537,40.02081614013118,0.20044136089025955,6.470588235294118,6.2861839483522814,46.72,25.986696,270.2288987251356
5.887333363407686,2.5821836275931034,44.902938747876064,0.35401242076391704,8.823529411764707,10.0,45.26,25.305477,365.22503869493966
2.4486654822734897,2.514095832268806,43.689557236395466,3.811748489379272,8.774509803921568,8.894574040143935,39.32,20.243847,260.82509445725964
-4.0846428096591225,10.0,154.4133708970593,2.074838888090495,7.990196078431373,7.8176569269329494,30.1,16.492458,220.0981864419782
-0.9714375904491153,9.022713218942263,141.5619820552386,1.654606724448028,9.705882352941176,10.0,29.71,16.492458,281.5510852077106
-2.040086134641456,10.0,154.4133708970593,1.9420469189551817,9.901960784313726,9.101217743762307,24.99,14.99217,286.96048684638095
-2.1233166865197726,10.0,154.4133708970593,1.8782186473040845,9.754901960784313,9.17520794486024,18.93,14.996454,296.79897646453725
-1.944397758607474,10.0,154.4133708970593,1.5032212880192386,9.558823529411764,10.0,9.98,9.977118,304.41946833389596
0.5535988656729752,10.0,154.4133708970593,-1.239873375476897,9.313725490196079,9.273102453379071,1.53,1.529486,307.7773790890336
-0.7036274033152479,10.0,154.4133708970593,0.5565685797858357,9.852941176470587,10.0,0.14,0.140504,308.80643406938873
-4.3255839481662735,10.0,154.4133708970593,4.325583948166273,10.0,9.913787359921487,0.85,0.849714,308.82550467710945
-1.5460415869555473,10.0,154.4133708970593,1.546041586955548,10.0,10.0,9.92,9.916902,308.8219521572823
4.085762372499096,10.0,154.4133708970593,-4.085762372499096,10.0,10.0,24.48,21.993549,318.9857897309814
7.883208319772324,10.0,154.4133708970593,-7.883208319772324,10.0,8.130317066071385,26.68,21.993549,345.77101130752385
-7.381057225360826,8.280191644343038,131.56786407644188,9.10086558101779,10.0,6.869250318221724,28.81,23.99272,268.8419891332355
7.539196458247023,10.0,154.4133708970593,-7.637235673933297,9.901960784313726,10.0,29.28,25.573055,334.26696615413323
-2.497028009227922,10.0,154.4133708970593,2.0558515386396863,9.558823529411764,9.05156743845806,28.85,29.491108,297.4168234858822
1.7432868233929888,6.624852862697502,108.46672819986189,0.7495073727330386,9.117647058823529,10.0,31.8,31.791359,296.1978353433237
2.458474410510367,5.234313017809083,88.00341923366277,1.1307419834452563,8.823529411764707,10.0,37.94,37.929375,312.16969432042777
6.898646279249312,3.2064382591432263,55.710356359254156,-1.47763355800038,8.627450980392158,8.672713864737034,37.9,37.889229,316.89301044489605
4.6339989954135925,2.245783382431599,38.83071837673851,0.6692372299979454,7.549019607843137,8.308891308772449,38.11,38.099316,279.76061917334545
3.7452755153990505,3.9858744801650374,68.55083360560646,-1.113502936740559,6.617647058823529,10.0,37.91,25.993229,250.14152517312104
4.413585511751229,2.7244870490172644,47.4152490221989,-3.0204255019449646,4.117647058823529,3.7180300115046947,38.44,38.429836,148.41426842615238
4.978204073302286,2.696014301019563,46.915059813964746,-6.05657131549832,1.617647058823529,2.7018666012772643,40.47,40.458443,50.25859313094921
2.021436444701024,1.5,24.54459510515657,-2.1979070329363184,1.3235294117647058,4.0058440289839865,41.35,41.338936,41.816449030196154
-3.424641956316945,9.836143122303504,152.28130397176957,-3.862481558143422,2.549019607843137,4.3171154663328695,33.37,33.360989,61.426101087317164
-10.0,10.0,154.4133708970593,5.147058823529411,5.147058823529411,2.358336955030773,28.89,28.882257,168.58541752941275
-10.0,10.0,154.4133708970593,8.627450980392158,8.627450980392158,8.493879473235504,27.7,27.692657,270.7437825784324
-10.0,10.0,154.4133708970593,9.068627450980394,9.068627450980392,10.0,25.7,25.69215,284.8192785588245
