p_DA,p_H,p_IM,h_H,E_RE,z_on,z_sb,z_off,z_su,lambda_DA_RE,lambda_IM
6.254210178993867,2.823150073609502,-5.84206613495631,49.13923402718211,3.235294117647059,1.0,0.0,0.0,0.0,30.78,19.989561
4.930680767229161,2.823150073609502,-5.84206613495631,49.13923402718211,1.911764705882352,1.0,0.0,0.0,0.0,30.64,19.989561
4.5875435123272,2.823150073609502,-5.84206613495631,49.13923402718211,1.5686274509803921,1.0,0.0,0.0,0.0,30.43,19.989561
-1.412835825828004,10.0,-5.84206613495631,154.41337089705925,2.745098039215686,1.0,0.0,0.0,0.0,28.79,22.988798
-1.2657770022985924,10.0,-5.84206613495631,154.41337089705925,2.8921568627450975,1.0,0.0,0.0,0.0,28.42,22.714437
-1.2167573944554544,10.0,-5.84206613495631,154.41337089705925,2.9411764705882346,1.0,0.0,0.0,0.0,28.75,22.988798
5.4698964535036705,2.823150073609502,-5.84206613495631,49.13923402718211,2.450980392156862,1.0,0.0,0.0,0.0,34.16,22.488256
6.498928880054352,1.5,-5.84206613495631,24.544595105156553,2.156862745098039,1.0,0.0,0.0,0.0,42.07,22.268766
6.842066134956313,1.5,-5.84206613495631,24.544595105156553,2.5,1.0,0.0,0.0,0.0,44.89,22.488256
6.596968095740626,1.5,-5.84206613495631,24.544595105156553,2.254901960784313,1.0,0.0,0.0,0.0,45.26,22.988798
7.23422299770141,1.5,-5.84206613495631,24.544595105156553,2.8921568627450975,1.0,0.0,0.0,0.0,45.57,23.988544
8.116575938877881,1.5,-5.84206613495631,24.544595105156553,3.774509803921568,1.0,0.0,0.0,0.0,45.09,24.988289
7.920497507505332,1.5,-5.84206613495631,24.544595105156553,3.5784313725490193,1.0,0.0,0.0,0.0,45.16,24.988289
7.136183782015136,1.5,-5.84206613495631,24.544595105156553,2.794117647058823,1.0,0.0,0.0,0.0,44.9,24.988289
7.920497507505332,1.5,-5.84206613495631,24.544595105156553,3.5784313725490193,1.0,0.0,0.0,0.0,44.06,25.986696
8.018536723191607,1.5,-5.84206613495631,24.544595105156553,3.676470588235294,1.0,0.0,0.0,0.0,44.84,25.986696
8.410693585936706,1.5,-5.84206613495631,24.544595105156553,4.068627450980392,1.0,0.0,0.0,0.0,44.4,27.486984
9.1950073114269,1.5,-5.84206613495631,24.544595105156553,4.852941176470588,1.0,0.0,0.0,0.0,46.05,46.027115
10.0,2.312654370250428,-5.84206613495631,39.65016869303518,6.470588235294118,1.0,0.0,0.0,0.0,46.72,25.986696
10.0,4.665595546721017,-5.84206613495631,76.16527733322874,8.823529411764707,1.0,0.0,0.0,0.0,45.26,25.305477
10.0,4.616575938877878,-5.84206613495631,75.44622970671921,8.774509803921568,1.0,0.0,0.0,0.0,39.32,20.243847
10.0,3.8322622133876827,-5.84206613495631,63.94146768256684,7.990196078431373,1.0,0.0,0.0,0.0,30.1,16.492458
10.0,5.547948487897486,-5.84206613495631,89.10813461040016,9.705882352941176,1.0,0.0,0.0,0.0,29.71,16.492458
5.744026919270036,10.0,-5.84206613495631,154.41337089705925,9.901960784313726,1.0,0.0,0.0,0.0,24.99,14.99217
5.596968095740623,10.0,-5.84206613495631,154.41337089705925,9.754901960784313,1.0,0.0,0.0,0.0,18.93,14.996454
5.400889664368075,10.0,-5.84206613495631,154.41337089705925,9.558823529411764,1.0,0.0,0.0,0.0,9.98,9.977118
5.155791625152389,10.0,-5.84206613495631,154.41337089705925,9.313725490196079,1.0,0.0,0.0,0.0,1.53,1.529486
-5.989124958485723,10.0,5.84206613495631,154.41337089705925,9.852941176470587,1.0,0.0,0.0,0.0,0.14,0.140504
5.84206613495631,10.0,-5.84206613495631,154.41337089705925,10.0,1.0,0.0,0.0,0.0,0.85,0.849714
5.84206613495631,10.0,-5.84206613495631,154.41337089705925,10.0,1.0,0.0,0.0,0.0,9.92,9.916902
5.84206613495631,10.0,-5.84206613495631,154.41337089705925,10.0,1.0,0.0,0.0,0.0,24.48,21.993549
5.84206613495631,10.0,-5.84206613495631,154.41337089705925,10.0,1.0,0.0,0.0,0.0,26.68,21.993549
5.84206613495631,10.0,-5.84206613495631,154.41337089705925,10.0,1.0,0.0,0.0,0.0,28.81,23.99272
5.744026919270036,10.0,-5.84206613495631,154.41337089705925,9.901960784313726,1.0,0.0,0.0,0.0,29.28,25.573055
-6.283242605544546,10.0,5.84206613495631,154.41337089705925,9.558823529411764,1.0,0.0,0.0,0.0,28.85,29.491108
10.0,2.823150073609502,-3.705503014785973,49.13923402718211,9.117647058823529,1.0,0.0,0.0,0.0,31.8,31.791359
10.0,1.5,-2.676470588235291,24.544595105156553,8.823529411764707,1.0,0.0,0.0,0.0,37.94,37.929375
10.0,1.5,-2.872549019607839,24.544595105156553,8.627450980392158,1.0,0.0,0.0,0.0,37.9,37.889229
10.0,1.5,-3.9509803921568603,24.544595105156553,7.549019607843137,1.0,0.0,0.0,0.0,38.11,38.099316
10.0,2.459713193779839,-5.84206613495631,42.38368980839672,6.617647058823529,1.0,0.0,0.0,0.0,37.91,25.993229
8.45971319377984,1.5,-5.84206613495631,24.544595105156553,4.117647058823529,1.0,0.0,0.0,0.0,38.44,38.429836
5.959713193779842,1.5,-5.84206613495631,24.544595105156553,1.617647058823529,1.0,0.0,0.0,0.0,40.47,40.458443
5.665595546721018,1.5,-5.84206613495631,24.544595105156553,1.3235294117647058,1.0,0.0,0.0,0.0,41.35,41.338936
5.567935669189945,2.823150073609502,-5.84206613495631,49.13923402718211,2.549019607843137,1.0,0.0,0.0,0.0,33.37,33.360989
0.9891249584857214,10.0,-5.84206613495631,154.41337089705925,5.147058823529411,1.0,0.0,0.0,0.0,28.89,28.882257
4.469517115348468,10.0,-5.84206613495631,154.41337089705925,8.627450980392158,1.0,0.0,0.0,0.0,27.7,27.692657
4.910693585936702,10.0,-5.84206613495631,154.41337089705925,9.068627450980392,1.0,0.0,0.0,0.0,25.7,25.69215
-6.18520338985827,10.0,5.84206613495631,154.41337089705925,9.65686274509804,1.0,0.0,0.0,0.0,22.04,25.993229
-5.989124958485723,10.0,5.84206613495631,154.41337089705925,9.852941176470587,1.0,0.0,0.0,0.0,21.73,25.198378
5.744026919270036,10.0,-5.84206613495631,154.41337089705925,9.901960784313726,1.0,0.0,0.0,0.0,15.95,15.949204
5.744026919270036,10.0,-5.84206613495631,154.41337089705925,9.901960784313726,1.0,0.0,0.0,0.0,16.23,16.228874
-5.989124958485723,10.0,5.84206613495631,154.41337089705925,9.852941176470587,1.0,0.0,0.0,0.0,6.45,28.998674
-5.940105350642584,10.0,5.84206613495631,154.41337089705925,9.901960784313726,1.0,0.0,0.0,0.0,3.83,30.999184
-5.940105350642584,10.0,5.84206613495631,154.41337089705925,9.901960784313726,1.0,0.0,0.0,0.0,0.12,30.999184
-5.940105350642584,10.0,5.84206613495631,154.41337089705925,9.901960784313726,1.0,0.0,0.0,0.0,0.07,30.999184
-5.940105350642584,10.0,5.84206613495631,154.41337089705925,9.901960784313726,1.0,0.0,0.0,0.0,19.07,30.698103
-5.940105350642584,10.0,5.84206613495631,154.41337089705925,9.901960784313726,1.0,0.0,0.0,0.0,17.49,30.698103
-5.940105350642584,10.0,5.84206613495631,154.41337089705925,9.901960784313726,1.0,0.0,0.0,0.0,23.98,30.999184
-6.2342229977014085,10.0,5.84206613495631,154.41337089705925,9.607843137254902,1.0,0.0,0.0,0.0,8.8,30.999184
-6.087164174171997,10.0,5.84206613495631,154.41337089705925,9.754901960784313,1.0,0.0,0.0,0.0,17.95,30.999184
-5.989124958485723,10.0,5.84206613495631,154.41337089705925,9.852941176470587,1.0,0.0,0.0,0.0,19.5,30.698103
-5.940105350642584,10.0,5.84206613495631,154.41337089705925,9.901960784313726,1.0,0.0,0.0,0.0,13.74,29.99826
-5.940105350642584,10.0,5.84206613495631,154.41337089705925,9.901960784313726,1.0,0.0,0.0,0.0,17.42,29.99826
-5.940105350642584,10.0,5.84206613495631,154.41337089705925,9.901960784313726,1.0,0.0,0.0,0.0,20.38,29.99826
-5.940105350642584,10.0,5.84206613495631,154.41337089705925,9.901960784313726,1.0,0.0,0.0,0.0,25.08,31.498308
-5.940105350642584,10.0,5.84206613495631,154.41337089705925,9.901960784313726,1.0,0.0,0.0,0.0,28.88,33.999279
1.2367445757479132,2.823150073609502,5.84206613495631,49.13923402718211,9.901960784313726,1.0,0.0,0.0,0.0,32.02,33.999279
10.0,2.823150073609502,-2.970208897138915,49.13923402718211,9.852941176470587,1.0,0.0,0.0,0.0,35.35,35.348114
0.256352418885168,2.823150073609502,5.84206613495631,49.13923402718211,8.92156862745098,1.0,0.0,0.0,0.0,29.98,32.998356
10.0,2.823150073609502,-4.685895171648719,49.13923402718211,8.137254901960784,1.0,0.0,0.0,0.0,34.46,34.458256
-1.1652162085658127,2.823150073609502,5.84206613495631,49.13923402718211,7.5,1.0,0.0,0.0,0.0,30.09,30.999184
8.802850448681802,1.5,-5.84206613495631,24.544595105156553,4.46078431372549,1.0,0.0,0.0,0.0,37.95,37.948109
-6.116196600722676,2.823150073609502,5.84206613495631,49.13923402718211,2.549019607843137,1.0,0.0,0.0,0.0,33.1,34.206688
-5.1848240517030675,2.823150073609502,5.84206613495631,49.13923402718211,3.480392156862745,1.0,0.0,0.0,0.0,32.28,34.206688
-4.498549541899145,2.823150073609502,5.84206613495631,49.13923402718211,4.166666666666667,1.0,0.0,0.0,0.0,31.18,31.99877
5.3228376299742575,2.823150073609502,-5.84206613495631,49.13923402718211,2.30392156862745,1.0,0.0,0.0,0.0,30.1,30.098619
5.028719982915435,2.823150073609502,-5.84206613495631,49.13923402718211,2.009803921568627,1.0,0.0,0.0,0.0,29.96,29.959455
6.254210178993867,2.823150073609502,-5.84206613495631,49.13923402718211,3.235294117647059,1.0,0.0,0.0,0.0,29.88,29.879168
6.793425865268377,2.823150073609502,-5.84206613495631,49.13923402718211,3.774509803921568,1.0,0.0,0.0,0.0,30.38,30.37829
-5.724039737977577,2.823150073609502,5.84206613495631,49.13923402718211,2.9411764705882346,1.0,0.0,0.0,0.0,31.15,32.998356
-6.459333855624636,2.823150073609502,5.84206613495631,49.13923402718211,2.205882352941176,1.0,0.0,0.0,0.0,32.09,32.499229
-7.978941698761892,2.823150073609502,5.84206613495631,49.13923402718211,0.6862745098039209,1.0,0.0,0.0,0.0,34.27,34.498402
5.616575938877881,1.5,-5.84206613495631,24.544595105156553,1.274509803921568,1.0,0.0,0.0,0.0,37.53,37.527935
5.959713193779842,1.5,-5.84206613495631,24.544595105156553,1.617647058823529,1.0,0.0,0.0,0.0,38.99,26.999504
6.596968095740626,1.5,-5.84206613495631,24.544595105156553,2.254901960784313,1.0,0.0,0.0,0.0,38.15,26.999504
6.156170963307593,2.823150073609502,-5.84206613495631,49.13923402718211,3.1372549019607843,1.0,0.0,0.0,0.0,35.37,26.999504
8.558131747621317,2.823150073609502,-5.84206613495631,49.13923402718211,5.53921568627451,1.0,0.0,0.0,0.0,34.44,26.999504
10.0,3.34206613495631,-5.84206613495631,56.75099141747161,7.5,1.0,0.0,0.0,0.0,36.1,26.999504
10.0,1.9695171153484674,-5.842066134956309,33.27195275719157,6.127450980392157,1.0,0.0,0.0,0.0,40.59,26.999504
10.0,3.293046527113173,-5.84206613495631,56.03194379096209,7.450980392156863,1.0,0.0,0.0,0.0,31.53,27.99909
10.0,4.224419076132781,-5.84206613495631,69.69384869464304,8.382352941176471,1.0,0.0,0.0,0.0,31.1,27.99909
10.0,4.665595546721017,-5.84206613495631,76.16527733322874,8.823529411764707,1.0,0.0,0.0,0.0,30.42,27.99909
10.0,4.665595546721017,-5.84206613495631,76.16527733322874,8.823529411764707,1.0,0.0,0.0,0.0,29.87,26.28628
10.0,4.175399468289644,-5.84206613495631,68.97480106813352,8.333333333333334,1.0,0.0,0.0,0.0,29.61,26.256842
9.636563120170337,2.823150073609502,-5.84206613495631,49.13923402718211,6.617647058823529,1.0,0.0,0.0,0.0,29.46,29.458992
2.7538308408386634,10.0,-5.84206613495631,154.41337089705925,6.911764705882353,1.0,0.0,0.0,0.0,26.68,26.678352
1.675399468289644,10.0,-5.84206613495631,154.41337089705925,5.833333333333334,1.0,0.0,0.0,0.0,26.42,26.418402
2.508732801622976,10.0,-5.84206613495631,154.41337089705925,6.666666666666666,1.0,0.0,0.0,0.0,26.5,26.498688
3.145987703583762,10.0,-5.84206613495631,154.41337089705925,7.303921568627451,1.0,0.0,0.0,0.0,29.08,24.998661
3.34206613495631,10.0,-5.84206613495631,154.41337089705925,7.5,1.0,0.0,0.0,0.0,27.72,23.99909
3.5381445663288593,10.0,-5.84206613495631,154.41337089705925,7.696078431372549,1.0,0.0,0.0,0.0,27.03,23.99909
2.410693585936702,10.0,-5.84206613495631,154.41337089705925,6.568627450980392,1.0,0.0,0.0,0.0,27.62,25.198042
10.0,2.9989288800543497,-5.84206613495631,51.717658031904946,7.1568627450980395,1.0,0.0,0.0,0.0,33.18,25.998234
10.0,3.6361837820151335,-5.84206613495631,61.06527717652874,7.794117647058823,1.0,0.0,0.0,0.0,34.21,26.498688
9.24440625742524,2.823150073609502,-5.84206613495631,49.13923402718211,6.2254901960784315,1.0,0.0,0.0,0.0,35.75,26.498688
8.803229786837004,2.823150073609502,-5.84206613495631,49.13923402718211,5.784313725490197,1.0,0.0,0.0,0.0,32.52,27.198523
9.293425865268377,2.823150073609502,-5.84206613495631,49.13923402718211,6.2745098039215685,1.0,0.0,0.0,0.0,32.01,26.791737
9.489504296640925,2.823150073609502,-5.84206613495631,49.13923402718211,6.470588235294118,1.0,0.0,0.0,0.0,31.23,26.791737
9.097347433895827,2.823150073609502,-5.84206613495631,49.13923402718211,6.078431372549019,1.0,0.0,0.0,0.0,31.19,26.999144
6.940484688797788,2.823150073609502,-5.84206613495631,49.13923402718211,3.92156862745098,1.0,0.0,0.0,0.0,31.08,26.999144
6.695386649582103,2.823150073609502,-5.84206613495631,49.13923402718211,3.676470588235294,1.0,0.0,0.0,0.0,31.21,27.49826
6.058131747621317,2.823150073609502,-5.84206613495631,49.13923402718211,3.0392156862745088,1.0,0.0,0.0,0.0,31.3,27.49826
5.813033708405632,2.823150073609502,-5.84206613495631,49.13923402718211,2.794117647058823,1.0,0.0,0.0,0.0,33.58,27.49826
6.2051905711507285,2.823150073609502,-5.84206613495631,49.13923402718211,3.186274509803921,1.0,0.0,0.0,0.0,34.05,34.048332
7.77381802213112,2.823150073609502,-5.84206613495631,49.13923402718211,4.754901960784313,1.0,0.0,0.0,0.0,31.31,31.307873
7.430680767229161,2.823150073609502,-5.84206613495631,49.13923402718211,4.411764705882353,1.0,0.0,0.0,0.0,30.95,26.999144
7.724798414287983,2.823150073609502,-5.84206613495631,49.13923402718211,4.705882352941176,1.0,0.0,0.0,0.0,30.58,25.998234
7.577739590758572,2.823150073609502,-5.84206613495631,49.13923402718211,4.5588235294117645,1.0,0.0,0.0,0.0,30.28,25.998234
7.871857237817396,2.823150073609502,-5.84206613495631,49.13923402718211,4.852941176470588,1.0,0.0,0.0,0.0,29.46,26.798426
1.4303014290739569,10.0,-5.84206613495631,154.41337089705925,5.588235294117647,1.0,0.0,0.0,0.0,29.07,25.998234
-10.0,10.0,4.754901960784313,154.41337089705925,4.754901960784313,1.0,0.0,0.0,0.0,28.28,28.280098
1.7244190761327811,10.0,-5.84206613495631,154.41337089705925,5.882352941176471,1.0,0.0,0.0,0.0,28.34,23.900389
1.528340644760231,10.0,-5.84206613495631,154.41337089705925,5.686274509803921,1.0,0.0,0.0,0.0,28.47,23.900389
-0.5795024924946706,10.0,-5.84206613495631,154.41337089705925,3.5784313725490193,1.0,0.0,0.0,0.0,28.11,23.900389
-2.050090727788788,10.0,-5.84206613495631,154.41337089705925,2.107843137254902,1.0,0.0,0.0,0.0,28.7,24.362045
-2.3442083748476117,10.0,-5.84206613495631,154.41337089705925,1.8137254901960782,1.0,0.0,0.0,0.0,28.8,24.362045
4.881661159386024,2.823150073609502,-5.84206613495631,49.13923402718211,1.8627450980392148,1.0,0.0,0.0,0.0,30.62,25.500795
6.645987703583763,1.5,-5.84206613495631,24.544595105156553,2.30392156862745,1.0,0.0,0.0,0.0,37.6,25.664049
8.214615154564157,1.5,-5.84206613495631,24.544595105156553,3.872549019607843,1.0,0.0,0.0,0.0,46.99,26.001257
10.0,3.8322622133876827,-5.84206613495631,63.94146768256684,7.990196078431373,1.0,0.0,0.0,0.0,47.07,26.500381
10.0,3.8812818212308198,-5.84206613495631,64.66051530907636,8.03921568627451,1.0,0.0,0.0,0.0,47.06,26.500381
10.0,4.077360252603368,-5.84206613495631,67.53670581511444,8.235294117647058,1.0,0.0,0.0,0.0,46.98,26.500381
10.0,3.6852033898582706,-5.842066134956309,61.78432480303826,7.8431372549019605,1.0,0.0,0.0,0.0,42.03,27.300585
-2.83226221338768,1.5,5.84206613495631,24.544595105156553,4.509803921568627,1.0,0.0,0.0,0.0,42.37,48.914104
6.940484688797788,2.823150073609502,-5.84206613495631,49.13923402718211,3.92156862745098,1.0,0.0,0.0,0.0,33.05,28.100788
7.185582728013475,2.823150073609502,-5.84206613495631,49.13923402718211,4.166666666666667,1.0,0.0,0.0,0.0,33.05,26.001257
8.313033708405632,2.823150073609502,-5.84206613495631,49.13923402718211,5.294117647058823,1.0,0.0,0.0,0.0,37.0,25.500795
9.440484688797788,2.823150073609502,-5.84206613495631,49.13923402718211,6.421568627450981,1.0,0.0,0.0,0.0,33.04,25.000334
9.097347433895827,2.823150073609502,-5.84206613495631,49.13923402718211,6.078431372549019,1.0,0.0,0.0,0.0,30.18,25.000334
10.0,4.714615154564152,-5.84206613495631,76.88432495973825,8.872549019607842,1.0,0.0,0.0,0.0,29.46,25.000334
5.695007311426897,10.0,-5.84206613495631,154.41337089705925,9.852941176470587,1.0,0.0,0.0,0.0,28.63,24.00075
5.695007311426897,10.0,-5.84206613495631,154.41337089705925,9.852941176470587,1.0,0.0,0.0,0.0,27.98,22.00024
5.695007311426897,10.0,-5.84206613495631,154.41337089705925,9.852941176470587,1.0,0.0,0.0,0.0,26.93,20.500195
5.744026919270036,10.0,-5.84206613495631,154.41337089705925,9.901960784313726,1.0,0.0,0.0,0.0,24.21,17.000977
5.744026919270036,10.0,-5.84206613495631,154.41337089705934,9.901960784313726,1.0,0.0,0.0,0.0,18.95,18.949299
-5.940105350642584,10.0,5.84206613495631,154.41337089705934,9.901960784313726,1.0,0.0,0.0,0.0,4.96,4.960458
5.744026919270036,10.0,-5.84206613495631,154.41337089705934,9.901960784313726,1.0,0.0,0.0,0.0,0.1,0.0
5.744026919270036,10.0,-5.84206613495631,154.41337089705934,9.901960784313726,1.0,0.0,0.0,0.0,0.11,0.0
5.695007311426897,10.0,-5.84206613495631,154.41337089705934,9.852941176470587,1.0,0.0,0.0,0.0,1.75,0.0
5.4989288800543505,10.0,-5.84206613495631,154.41337089705934,9.65686274509804,1.0,0.0,0.0,0.0,20.74,19.000147
5.547948487897486,10.0,-5.84206613495631,154.41337089705934,9.705882352941176,1.0,0.0,0.0,0.0,25.57,19.999733
5.4989288800543505,10.0,-5.84206613495631,154.41337089705934,9.65686274509804,1.0,0.0,0.0,0.0,26.99,24.399513
5.3518700565249375,10.0,-5.84206613495631,154.41337089705934,9.509803921568627,1.0,0.0,0.0,0.0,27.34,25.499458
5.106772017309252,10.0,-5.84206613495631,154.41337089705934,9.264705882352942,1.0,0.0,0.0,0.0,27.92,25.000334
5.449909272211212,10.0,-5.84206613495631,154.41337089705934,9.607843137254902,1.0,0.0,0.0,0.0,28.03,25.000334
5.449909272211212,10.0,-5.84206613495631,154.41337089705934,9.607843137254902,1.0,0.0,0.0,0.0,28.02,24.269714
4.763634762407291,10.0,-5.84206613495631,154.41337089705934,8.92156862745098,1.0,0.0,0.0,0.0,28.0,24.20013
3.8812818212308198,10.0,-5.84206613495631,154.41337089705934,8.03921568627451,1.0,0.0,0.0,0.0,27.98,23.399927
2.9008896643680764,10.0,-5.84206613495631,154.41337089705934,7.058823529411765,1.0,0.0,0.0,0.0,28.06,24.382116
2.9499092722112117,10.0,-5.84206613495631,154.41337089705934,7.1078431372549025,1.0,0.0,0.0,0.0,28.44,24.699255
5.057752409466115,10.0,-5.84206613495631,154.41337089705934,9.215686274509805,1.0,0.0,0.0,0.0,28.88,25.700178
10.0,1.5,-2.9215686274509807,24.544595105156553,8.57843137254902,1.0,0.0,0.0,0.0,39.07,39.069462
10.0,3.7342229977014076,-5.84206613495631,62.50337242954778,7.8921568627450975,1.0,0.0,0.0,0.0,46.71,24.382116
9.24440625742524,2.823150073609502,-5.84206613495631,49.13923402718211,6.2254901960784315,1.0,0.0,0.0,0.0,36.12,24.382116
1.9204975075053294,10.0,-5.84206613495631,154.41337089705934,6.078431372549019,1.0,0.0,0.0,0.0,29.03,24.382116
7.381661159386024,2.823150073609502,-5.84206613495631,49.13923402718211,4.362745098039216,1.0,0.0,0.0,0.0,29.75,24.399513
6.401269002523279,2.823150073609502,-5.84206613495631,49.13923402718211,3.382352941176471,1.0,0.0,0.0,0.0,29.88,29.879168
-1.4618554336711411,10.0,-5.84206613495631,154.41337089705934,2.6960784313725488,1.0,0.0,0.0,0.0,27.93,27.929506
-10.0,10.0,2.1078431372549016,154.41337089705925,2.107843137254902,1.0,0.0,0.0,0.0,25.21,28.403206
-10.0,10.0,1.568627450980392,154.41337089705925,1.5686274509803921,1.0,0.0,0.0,0.0,25.34,28.403206
-10.0,10.0,1.2745098039215677,154.41337089705925,1.274509803921568,1.0,0.0,0.0,0.0,27.74,27.740831
-8.076980914448164,2.823150073609502,5.84206613495631,49.13923402718211,0.588235294117647,1.0,0.0,0.0,0.0,32.11,32.111172
-10.0,10.0,0.14705882352941124,154.41337089705925,0.147058823529411,1.0,0.0,0.0,0.0,29.0,29.001352
-10.0,10.0,0.2941176470588225,154.41337089705925,0.294117647058823,1.0,0.0,0.0,0.0,28.1,28.100788
-8.37109856150699,2.823150073609502,5.84206613495631,49.13923402718211,0.294117647058823,1.0,0.0,0.0,0.0,36.17,36.171066
-6.459713193779837,1.5,5.84206613495631,24.544595105156553,0.8823529411764699,1.0,0.0,0.0,0.0,46.5,46.501453
