p_DA,p_H,h_H,p_IM,E_RE,E_FC,lambda_DA_RE,lambda_IM
-8.852117109043734,10.0,154.4133708970593,2.0874112266907936,3.235294117647059,3.549505822724316,30.78,19.989561
-9.347873037823975,10.0,154.4133708970593,1.2596377437063264,1.911764705882352,1.786677194524583,30.64,19.989561
-4.753713270987182,10.0,154.4133708970593,-3.6776592780324258,1.5686274509803921,1.389104769173922,30.43,19.989561
-9.18982256877535,10.0,154.4133708970593,1.9349206079910353,2.745098039215686,2.4835384984696027,28.79,22.988798
-4.1715801552452625,10.0,154.4133708970593,-2.93626298200964,2.8921568627450975,1.3936286934038111,28.42,22.714437
-3.269628805868492,10.0,154.4133708970593,-3.7891947235432735,2.9411764705882346,2.441667559219845,28.75,22.988798
-8.529433157531468,10.0,154.4133708970593,0.9804135496883291,2.450980392156862,3.766354237737267,34.16,22.488256
-8.107532820643133,10.0,154.4133708970593,0.2643955657411716,2.156862745098039,3.231680927271811,42.07,22.268766
-5.759530336726898,10.0,154.4133708970593,-1.7404696632731032,2.5,3.573559264241028,44.89,22.488256
-8.170821521834581,10.0,154.4133708970593,0.4257234826188938,2.254901960784313,0.9559179361344081,45.26,22.988798
-9.286325030064877,10.0,154.4133708970593,2.178481892809973,2.8921568627450975,1.7659296595719989,45.57,23.988544
-8.222957797902021,10.0,154.4133708970593,1.9974676018235886,3.774509803921568,1.544207817105623,45.09,24.988289
-6.56450032338666,10.0,154.4133708970593,0.14293169593567967,3.5784313725490193,4.0216937300585585,45.16,24.988289
-7.0269420992069564,10.0,154.4133708970593,-0.17894025373422018,2.794117647058823,0.074412646836342,44.9,24.988289
-5.4900425819166365,10.0,154.4133708970593,-0.9315260455343441,3.5784313725490193,3.228968686317568,44.06,25.986696
-1.1723092288637753,10.0,154.4133708970593,-5.15122018290093,3.676470588235294,9.493952953938487,44.84,25.986696
-3.727299120399449,10.0,154.4133708970593,-2.204073428620159,4.068627450980392,1.161458472247124,44.4,27.486984
2.2678055055661765,10.0,154.4133708970593,-7.414864329095589,4.852941176470588,6.913149255808076,46.05,46.027115
-3.6749379704041534,10.0,154.4133708970593,0.14552620569827113,6.470588235294118,6.2861839483522814,46.72,25.986696
0.8244447442419762,10.0,154.4133708970593,-2.0009153324772697,8.823529411764707,10.0,45.26,25.305477
-5.697832034092296,10.0,154.4133708970593,4.472341838013865,8.774509803921568,8.894574040143935,39.32,20.243847
-8.044702100340277,10.0,154.4133708970593,6.034898178771648,7.990196078431373,7.8176569269329494,30.1,16.492458
-5.814827776082776,10.0,154.4133708970593,5.520710129023952,9.705882352941176,10.0,29.71,16.492458
-4.636084012773586,10.0,154.4133708970593,4.538044797087313,9.901960784313726,9.101217743762307,24.99,14.99217
-3.9247894256293594,10.0,154.4133708970593,3.6796913864136727,9.754901960784313,9.17520794486024,18.93,14.996454
-3.2452240611542313,10.0,154.4133708970593,2.8040475905659967,9.558823529411764,10.0,9.98,9.977118
-0.9304620397792966,10.0,154.4133708970593,0.24418752997537574,9.313725490196079,9.273102453379071,1.53,1.529486
-2.7669557627789008,10.0,154.4133708970593,2.6198969392494877,9.852941176470587,10.0,0.14,0.140504
-7.237599849833279,10.0,154.4133708970593,7.2375998498332805,10.0,9.913787359921487,0.85,0.849714
-2.316690806023871,10.0,154.4133708970593,2.316690806023871,10.0,10.0,9.92,9.916902
