p_DA,p_H,p_IM,h_H,E_RE,z_on,z_sb,z_off,z_su,lambda_DA_RE,lambda_IM
10.0,10.0,-16.764705882352942,154.41337089705934,3.235294117647059,1.0,0.0,0.0,0.0,30.78,19.989561
10.0,10.0,-18.08823529411765,154.41337089705934,1.911764705882352,1.0,0.0,0.0,0.0,30.64,19.989561
10.0,10.0,-18.431372549019606,154.41337089705934,1.5686274509803921,1.0,0.0,0.0,0.0,30.43,19.989561
10.0,10.0,-17.254901960784313,154.41337089705934,2.745098039215686,1.0,0.0,0.0,0.0,28.79,22.988798
10.0,10.0,-17.107843137254903,154.41337089705934,2.8921568627450975,1.0,0.0,0.0,0.0,28.42,22.714437
10.0,10.0,-17.058823529411764,154.41337089705934,2.9411764705882346,1.0,0.0,0.0,0.0,28.75,22.988798
10.0,10.0,-17.54901960784314,154.41337089705934,2.450980392156862,1.0,0.0,0.0,0.0,34.16,22.488256
10.0,10.0,-17.84313725490196,154.41337089705934,2.156862745098039,1.0,0.0,0.0,0.0,42.07,22.268766
10.0,10.0,-17.5,154.41337089705934,2.5,1.0,0.0,0.0,0.0,44.89,22.488256
10.0,10.0,-17.745098039215687,154.41337089705934,2.254901960784313,1.0,0.0,0.0,0.0,45.26,22.988798
10.0,10.0,-17.107843137254903,154.41337089705934,2.8921568627450975,1.0,0.0,0.0,0.0,45.57,23.988544
10.0,10.0,-16.225490196078432,154.41337089705934,3.774509803921568,1.0,0.0,0.0,0.0,45.09,24.988289
10.0,10.0,-16.42156862745098,154.41337089705934,3.5784313725490193,1.0,0.0,0.0,0.0,45.16,24.988289
10.0,10.0,-17.205882352941178,154.41337089705934,2.794117647058823,1.0,0.0,0.0,0.0,44.9,24.988289
10.0,10.0,-16.42156862745098,154.41337089705934,3.5784313725490193,1.0,0.0,0.0,0.0,44.06,25.986696
10.0,10.0,-16.323529411764707,154.41337089705934,3.676470588235294,1.0,0.0,0.0,0.0,44.84,25.986696
10.0,10.0,-15.931372549019608,154.41337089705934,4.068627450980392,1.0,0.0,0.0,0.0,44.4,27.486984
10.0,10.0,-15.147058823529413,154.41337089705934,4.852941176470588,1.0,0.0,0.0,0.0,46.05,46.027115
10.0,10.0,-13.529411764705882,154.41337089705934,6.470588235294118,1.0,0.0,0.0,0.0,46.72,25.986696
10.0,10.0,-11.176470588235293,154.41337089705934,8.823529411764707,1.0,0.0,0.0,0.0,45.26,25.305477
10.0,10.0,-11.225490196078432,154.41337089705934,8.774509803921568,1.0,0.0,0.0,0.0,39.32,20.243847
10.0,10.0,-12.009803921568627,154.41337089705934,7.990196078431373,1.0,0.0,0.0,0.0,30.1,16.492458
10.0,10.0,-10.294117647058824,154.41337089705934,9.705882352941176,1.0,0.0,0.0,0.0,29.71,16.492458
10.0,10.0,-10.098039215686274,154.41337089705934,9.901960784313726,1.0,0.0,0.0,0.0,24.99,14.99217
10.0,10.0,-10.245098039215687,154.41337089705934,9.754901960784313,1.0,0.0,0.0,0.0,18.93,14.996454
10.0,10.0,-10.441176470588236,154.41337089705934,9.558823529411764,1.0,0.0,0.0,0.0,9.98,9.977118
10.0,10.0,-10.686274509803921,154.41337089705934,9.313725490196079,1.0,0.0,0.0,0.0,1.53,1.529486
-10.0,10.0,9.852941176470587,154.41337089705934,9.852941176470587,1.0,0.0,0.0,0.0,0.14,0.140504
10.0,10.0,-10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,0.85,0.849714
10.0,10.0,-10.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,9.92,9.916902
