p_DA,p_H,h_H,p_IM,E_RE,E_FC,lambda_DA_RE,lambda_IM,revenue
-8.528418271867283,10.0,154.4133708970593,1.7637123895143425,3.235294117647059,3.549505822724316,30.78,19.989561,390.40460557681496
-8.621842762677177,10.0,154.4133708970593,0.5336074685595289,1.911764705882352,1.786677194524583,30.64,19.989561,364.1468003826348
-4.698057431809577,10.0,154.4133708970593,-3.733315117210031,1.5686274509803921,1.389104769173922,30.43,19.989561,400.06426567057974
-9.328775164840826,10.0,154.4133708970593,2.073873204056511,2.745098039215686,2.4835384984696027,28.79,22.988798,396.7538987581378
-4.205711327450263,10.0,154.4133708970593,-2.902131809804639,2.8921568627450975,1.3936286934038111,28.42,22.714437,432.2068775025973
-6.072163171751548,10.0,154.4133708970593,-0.9866603576602166,2.9411764705882346,2.441667559219845,28.75,22.988798,420.39665674352176
-8.58213100104077,10.0,154.4133708970593,1.0331113931976326,2.450980392156862,3.766354237737267,34.16,22.488256,347.72076207942956
-1.8904080470582287,10.0,154.4133708970593,-5.952729207843732,2.156862745098039,3.231680927271811,42.07,22.268766,405.5640832576601
-5.232928678517392,10.0,154.4133708970593,-2.267071321482608,2.5,3.573559264241028,44.89,22.488256,331.7648349618323
-7.781434187050259,10.0,154.4133708970593,0.03633614783457162,2.254901960784313,0.9559179361344081,45.26,22.988798,266.30109664500964
-10.0,10.0,154.4133708970593,2.8921568627450966,2.8921568627450975,1.7659296595719989,45.57,23.988544,231.33211574509997
-4.359998380920336,10.0,154.4133708970593,-1.8654918151580961,3.774509803921568,1.544207817105623,45.09,24.988289,374.4457079882342
-5.7579532423170505,8.694285189302077,137.16714530552807,0.6420994255639929,3.5784313725490193,4.0216937300585585,45.16,24.988289,304.68437881180137
-5.351604632802788,9.10427266259002,142.64724322665268,-0.9585503827284096,2.794117647058823,0.074412646836342,44.9,24.988289,306.34939090908745
-3.3530865717942024,8.683214515016985,137.0183046948708,-1.7516965706737633,3.5784313725490193,3.228968686317568,44.06,25.986696,354.8154181598891
-1.2527398969956416,10.0,154.4133708970593,-5.070789514769064,3.676470588235294,9.493952953938487,44.84,25.986696,429.70756100666154
-4.1528645037992105,10.0,154.4133708970593,-1.7785080452203985,4.068627450980392,1.161458472247124,44.4,27.486984,384.3804774367079
