p_DA,p_H,p_IM,h_H,E_RE,z_on,z_sb,z_off,z_su,lambda_DA_RE,lambda_IM
-1.0282608652535252,10.0,-5.736445017099416,154.41337089705925,3.235294117647059,1.0,0.0,0.0,0.0,30.78,19.989561
-2.351790277018232,10.0,-5.736445017099416,154.41337089705925,1.911764705882352,1.0,0.0,0.0,0.0,30.64,19.989561
-2.694927531920192,10.0,-5.736445017099416,154.41337089705925,1.5686274509803921,1.0,0.0,0.0,0.0,30.43,19.989561
-1.5184569436848974,10.0,-5.736445017099416,154.41337089705925,2.745098039215686,1.0,0.0,0.0,0.0,28.79,22.988798
-1.3713981201554866,10.0,-5.736445017099416,154.41337089705925,2.8921568627450975,1.0,0.0,0.0,0.0,28.42,22.714437
-1.3223785123123495,10.0,-5.736445017099416,154.41337089705925,2.9411764705882346,1.0,0.0,0.0,0.0,28.75,22.988798
-1.812574590743722,10.0,-5.736445017099416,154.41337089705925,2.450980392156862,1.0,0.0,0.0,0.0,34.16,22.488256
-2.106692237802545,10.0,-5.736445017099416,154.41337089705925,2.156862745098039,1.0,0.0,0.0,0.0,42.07,22.268766
-1.763554982900584,10.0,-5.736445017099416,154.41337089705925,2.5,1.0,0.0,0.0,0.0,44.89,22.488256
-2.0086530221162713,10.0,-5.736445017099416,154.41337089705925,2.254901960784313,1.0,0.0,0.0,0.0,45.26,22.988798
-1.3713981201554866,10.0,-5.736445017099416,154.41337089705925,2.8921568627450975,1.0,0.0,0.0,0.0,45.57,23.988544
-0.48904517897901645,10.0,-5.736445017099416,154.41337089705925,3.774509803921568,1.0,0.0,0.0,0.0,45.09,24.988289
-0.6851236103515648,10.0,-5.736445017099416,154.41337089705925,3.5784313725490193,1.0,0.0,0.0,0.0,45.16,24.988289
-1.4694373358417616,10.0,-5.736445017099416,154.41337089705925,2.794117647058823,1.0,0.0,0.0,0.0,44.9,24.988289
-0.6851236103515648,10.0,-5.736445017099416,154.41337089705925,3.5784313725490193,1.0,0.0,0.0,0.0,44.06,25.986696
-0.5870843946652906,10.0,-5.736445017099416,154.41337089705925,3.676470588235294,1.0,0.0,0.0,0.0,44.84,25.986696
-0.1949275319201913,10.0,-5.736445017099416,154.41337089705925,4.068627450980392,1.0,0.0,0.0,0.0,44.4,27.486984
0.5893861935700038,10.0,-5.736445017099416,154.41337089705925,4.852941176470588,1.0,0.0,0.0,0.0,46.05,46.027115
2.2070332523935345,10.0,-5.736445017099416,154.41337089705925,6.470588235294118,1.0,0.0,0.0,0.0,46.72,25.986696
4.559974428864122,10.0,-5.736445017099416,154.41337089705925,8.823529411764707,1.0,0.0,0.0,0.0,45.26,25.305477
4.5109548210209836,10.0,-5.736445017099416,154.41337089705925,8.774509803921568,1.0,0.0,0.0,0.0,39.32,20.243847
3.7266410955307894,10.0,-5.736445017099416,154.41337089705925,7.990196078431373,1.0,0.0,0.0,0.0,30.1,16.492458
5.442327370040593,10.0,-5.736445017099416,154.41337089705925,9.705882352941176,1.0,0.0,0.0,0.0,29.71,16.492458
5.638405801413142,10.0,-5.736445017099416,154.41337089705925,9.901960784313726,1.0,0.0,0.0,0.0,24.99,14.99217
5.491346977883729,10.0,-5.736445017099416,154.41337089705925,9.754901960784313,1.0,0.0,0.0,0.0,18.93,14.996454
5.29526854651118,10.0,-5.736445017099416,154.41337089705925,9.558823529411764,1.0,0.0,0.0,0.0,9.98,9.977118
5.050170507295497,10.0,-5.736445017099416,154.41337089705925,9.313725490196079,1.0,0.0,0.0,0.0,1.53,1.529486
