p_DA,p_H,h_H,p_IM,s1,s2,E_RE,E_FC,lambda_DA_RE,lambda_IM,revenue
6.764755137428811,10.0,154.4133708970593,-11.911813960958224,0.0,0.0,4.852941176470588,6.913149255808076,46.05,46.027115,689.7307684213231
-7.1738804650939345,10.0,154.4133708970593,3.644468700388053,0.0,0.0,6.470588235294118,6.2861839483522814,46.72,25.986696,686.0242302516667
2.814212824066642,10.0,154.4133708970593,-3.9906834123019355,0.0,0.0,8.823529411764707,10.0,45.26,25.305477,952.865350495324
-9.220115401050826,10.0,154.4133708970593,7.994625204972394,0.0,0.0,8.774509803921568,8.894574040143935,39.32,20.243847,725.7872572848421
-10.0,10.0,154.4133708970593,7.990196078431374,0.0,0.0,7.990196078431373,7.8176569269329494,30.1,16.492458,757.2581986176501
-7.787897532101177,10.0,154.4133708970593,7.493779885042354,0.0,0.0,9.705882352941176,10.0,29.71,16.492458,818.6926397189358
-9.044533489404161,10.0,154.4133708970593,8.946494273717889,0.0,0.0,9.901960784313726,9.101217743762307,24.99,14.99217,834.584696537751
-6.152179317518802,10.0,154.4133708970593,5.907081278303114,0.0,0.0,9.754901960784313,9.17520794486024,18.93,14.996454,898.6047435660588
-0.8943079474094713,10.0,154.4133708970593,0.4531314768212358,0.0,0.0,9.558823529411764,10.0,9.98,9.977118,922.0759782809691
1.560047894809605,10.0,154.4133708970593,-2.246322404613526,0.0,0.0,9.313725490196079,9.273102453379071,1.53,1.529486,925.4313799920719
-0.6948839457434657,10.0,154.4133708970593,0.5478251222140536,0.0,0.0,9.852941176470587,10.0,0.14,0.140504,926.4599132509234
-7.335413822355919,10.0,154.4133708970593,7.3354138223559175,0.0,0.0,10.0,9.913787359921487,0.85,0.849714,926.4781274540027
-0.3073054873605833,10.0,154.4133708970593,0.3073054873605834,0.0,0.0,10.0,10.0,9.92,9.916902,926.4792733499561
4.610053850901462,10.0,154.4133708970593,-4.610053850901462,0.0,0.0,10.0,10.0,24.48,21.993549,937.9428983899837
-8.860476834870758,10.0,154.4133708970593,8.86047683487076,0.0,0.0,10.0,8.130317066071385,26.68,21.993549,884.9560348590992
4.009385161490625,10.0,154.4133708970593,-4.009385161490625,0.0,0.0,10.0,6.869250318221724,28.81,23.99272,945.7945563331015
1.1211449943832417,10.0,154.4133708970593,-1.2191842100695158,0.0,0.0,9.901960784313726,10.0,29.28,25.573055,928.1290859586579
-9.577642126868714,10.0,154.4133708970593,9.136465656280478,0.0,0.0,9.558823529411764,9.05156743845806,28.85,29.491108,919.609745429852
-9.356676245584747,10.0,154.4133708970593,8.474323304408276,0.0,0.0,9.117647058823529,10.0,31.8,31.791359,898.3481752252707
-9.110964706169344,10.0,154.4133708970593,7.934494117934051,0.0,0.0,8.823529411764707,10.0,37.94,37.929375,881.7606272647058
3.985834195418425,10.0,154.4133708970593,-5.358383215026267,0.0,0.0,8.627450980392158,8.672713864737034,37.9,37.889229,874.5183326848278
2.950661681664055,10.0,154.4133708970593,-5.401642073820918,0.0,0.0,7.549019607843137,8.308891308772449,38.11,38.099316,833.1310737811747
0.747132787016624,10.0,154.4133708970593,-4.129485728193095,0.0,0.0,6.617647058823529,10.0,37.91,25.993229,847.4653611530013
1.1985565626610053,10.0,154.4133708970593,-7.080909503837477,0.0,0.0,4.117647058823529,3.7180300115046947,38.44,38.429836,700.4345486877294
1.4498177091640212,10.0,154.4133708970593,-9.832170650340492,0.0,0.0,1.617647058823529,2.7018666012772643,40.47,40.458443,587.36003224915
-9.320998114346729,10.0,154.4133708970593,0.6445275261114354,0.0,0.0,1.3235294117647058,4.0058440289839865,41.35,41.338936,567.7010355062775
-9.360375850652153,10.0,154.4133708970593,1.9093954584952897,0.0,0.0,2.549019607843137,4.3171154663328695,33.37,33.360989,677.823804133605
-9.864092642524382,10.0,154.4133708970593,5.011151466053793,0.0,0.0,5.147058823529411,2.358336955030773,28.89,28.882257,786.2399534483189
-10.0,10.0,154.4133708970593,8.627450980392158,0.0,0.0,8.627450980392158,8.493879473235504,27.7,27.692657,888.3972661666696
-10.0,10.0,154.4133708970593,9.068627450980394,0.0,0.0,9.068627450980392,10.0,25.7,25.69215,902.4727621470619
-9.043439293123388,10.0,154.4133708970593,8.70030203822143,0.0,0.0,9.65686274509804,9.66452975050386,22.04,25.993229,953.3117666105729
-8.107097955603184,10.0,154.4133708970593,7.960039132073771,0.0,0.0,9.852941176470587,9.482092549352291,21.73,25.198378,950.8930617518855
-5.732742516626837,10.0,154.4133708970593,5.634703300940563,0.0,0.0,9.901960784313726,10.0,15.95,15.949204,924.9120146683323
-4.096506789638726,10.0,154.4133708970593,3.9984675739524516,0.0,0.0,9.901960784313726,9.62307554624168,16.23,16.228874,924.8845466372794
-5.072213413938047,10.0,154.4133708970593,4.925154590408635,0.0,0.0,9.852941176470587,8.918483638388125,6.45,28.998674,1036.587401229319
-7.488546457388693,10.0,154.4133708970593,7.390507241702419,0.0,0.0,9.901960784313726,9.623874627343788,3.83,30.999184,1126.898786289423
-6.093323155739299,10.0,154.4133708970593,5.9952839400530245,0.0,0.0,9.901960784313726,9.629263633106529,0.12,30.999184,1111.597936593616
-3.4260561261340152,10.0,154.4133708970593,3.32801691044774,0.0,0.0,9.901960784313726,10.0,0.07,30.999184,1029.4062100156075
-9.204356908036894,10.0,154.4133708970593,9.106317692350622,0.0,0.0,9.901960784313726,10.0,19.07,30.698103,1030.499817616594
-8.423100729177943,10.0,154.4133708970593,8.325061513491669,0.0,0.0,9.901960784313726,8.594447532620686,17.49,30.698103,1034.723789451537
-4.823385515136303,10.0,154.4133708970593,4.725346299450029,0.0,0.0,9.901960784313726,9.116779579210837,23.98,30.999184,957.2973201297578
-10.0,10.0,154.4133708970593,9.607843137254903,0.0,0.0,9.607843137254902,8.810275549015055,8.8,30.999184,1136.3155226372578
-9.53164657175524,10.0,154.4133708970593,9.286548532539555,0.0,0.0,9.754901960784313,9.692932692856012,17.95,30.999184,1043.262596104473
-9.32654162543675,10.0,154.4133708970593,9.179482801907337,0.0,0.0,9.852941176470587,7.842699437590256,19.5,30.698103,1026.4053722260192
-1.5185380922081562,10.0,154.4133708970593,1.420498876521883,0.0,0.0,9.901960784313726,9.783421777289712,13.74,29.99826,948.2280066230272
-7.091039959474254,10.0,154.4133708970593,6.993000743787981,0.0,0.0,9.901960784313726,8.327961584311701,17.42,29.99826,1012.7321637806596
-10.0,10.0,154.4133708970593,9.901960784313726,0.0,0.0,9.901960784313726,10.0,20.38,29.99826,1019.721819500003
-10.0,10.0,154.4133708970593,9.901960784313726,0.0,0.0,9.901960784313726,2.988487778455224,25.08,31.498308,987.5752359705913
-1.1392663084580086,10.0,154.4133708970593,1.0412270927717344,0.0,0.0,9.901960784313726,9.89887931383452,28.88,33.999279,928.9791848235936
-10.0,10.0,154.4133708970593,9.901960784313726,0.0,0.0,9.901960784313726,10.0,32.02,33.999279,942.9397527352971
-10.0,1.5,24.54459510515657,18.352941176470587,0.0,0.0,9.852941176470587,10.0,35.35,35.348114,442.5094275721159
-9.57080698191985,10.0,154.4133708970593,8.492375609370832,0.0,0.0,8.92156862745098,7.355748828462481,29.98,32.998356,919.7818657081345
-5.474656607517126,10.0,154.4133708970593,3.6119115094779097,0.0,0.0,8.137254901960784,9.002022652772135,34.46,34.458256,862.283730130252
-8.496148743996304,10.0,154.4133708970593,5.996148743996304,0.0,0.0,7.5,7.503148790617756,30.09,30.999184,856.7068278820175
-9.397813796795925,10.0,154.4133708970593,3.858598110521415,0.0,0.0,4.46078431372549,6.502033300452181,37.95,37.948109,716.2596934792114
-8.040856984815726,10.0,154.4133708970593,0.5898765926588627,0.0,0.0,2.549019607843137,3.156795190079464,33.1,34.206688,680.5055837485402
-10.0,10.0,154.4133708970593,3.480392156862745,0.0,0.0,3.480392156862745,2.452966556757275,32.28,34.206688,722.7329140098069
-2.1157815469423245,10.0,154.4133708970593,-3.7175517863910086,0.0,0.0,4.166666666666667,0.194682713853742,31.18,31.99877,741.5530721728793
-9.885158137959682,10.0,154.4133708970593,2.1890797065871315,0.0,0.0,2.30392156862745,1.5451635536939041,30.1,30.098619,694.8252414789674
-1.4089938821054033,10.0,154.4133708970593,-6.58120219632597,0.0,0.0,2.009803921568627,1.52969007697852,29.96,29.959455,687.097537627749
-7.943517632695285,10.0,154.4133708970593,1.1788117503423443,0.0,0.0,3.235294117647059,2.7520402763076577,29.88,29.879168,724.3498328462738
-6.119980706703682,10.0,154.4133708970593,-0.10550948937475013,0.0,0.0,3.774509803921568,3.9167390887616382,30.38,30.37829,737.35001364672
-9.665831039469563,10.0,154.4133708970593,2.607007510057798,0.0,0.0,2.9411764705882346,4.567040483687874,31.15,32.998356,711.4165504144398
-10.0,10.0,154.4133708970593,2.2058823529411757,0.0,0.0,2.205882352941176,2.863535365604035,32.09,32.499229,677.2697011176499
-10.0,10.0,154.4133708970593,0.6862745098039209,0.0,0.0,0.6862745098039209,0.39839982427312204,34.27,34.498402,607.4555993039245
-9.956949418293972,10.0,154.4133708970593,1.2314592222155394,0.0,0.0,1.274509803921568,0.0,37.53,37.527935,599.0100353602385
-9.839259118666998,10.0,154.4133708970593,1.4569061774905272,0.0,0.0,1.617647058823529,0.0,38.99,26.999504,582.1832565123098
-9.878184662648303,10.0,154.4133708970593,2.1330866234326162,0.0,0.0,2.254901960784313,0.0,38.15,26.999504,607.2197613240386
-3.5800739956224663,10.0,154.4133708970593,-3.2826711024167494,0.0,0.0,3.1372549019607843,2.249810620360618,35.37,26.999504,711.2225165968039
-2.648843030225957,10.0,154.4133708970593,-1.8119412834995323,0.0,0.0,5.53921568627451,5.321811260467811,34.44,26.999504,786.3325554897632
0.3239538666197017,10.0,154.4133708970593,-2.8239538666197017,0.0,0.0,7.5,9.781208178972106,36.1,26.999504,861.9296062497131
-0.47269178434614156,10.0,154.4133708970593,-3.3998572352617007,0.0,0.0,6.127450980392157,4.399756591821554,40.59,26.999504,815.4992068328687
-2.7524763792157305,10.0,154.4133708970593,0.20345677137259344,0.0,0.0,7.450980392156863,4.252426492316605,31.53,27.99909,845.3912495984546
-10.0,10.0,154.4133708970593,8.382352941176471,0.0,0.0,8.382352941176471,8.633483505455693,31.1,27.99909,850.1784797941207
-10.0,10.0,154.4133708970593,8.823529411764707,0.0,0.0,8.823529411764707,7.12404617489425,30.42,27.99909,869.3310195000029
-9.357226172734714,10.0,154.4133708970593,8.180755584499423,0.0,0.0,8.823529411764707,9.344318681471828,29.87,26.28628,862.0215115084854
-10.0,10.0,154.4133708970593,8.333333333333336,0.0,0.0,8.333333333333334,9.946220970608383,29.61,26.256842,849.1872420490226
-7.249935668538942,10.0,154.4133708970593,3.867582727362471,0.0,0.0,6.617647058823529,6.163960520125617,29.46,29.458992,826.8322092119079
-9.344118248021687,10.0,154.4133708970593,6.255882953904042,0.0,0.0,6.911764705882353,6.4919743935569105,26.68,26.678352,844.075798040189
-5.804517928852579,10.0,154.4133708970593,1.6378512621859116,0.0,0.0,5.833333333333334,6.0517757843779885,26.42,26.418402,816.3942747627057
-2.713677431470945,10.0,154.4133708970593,-0.6196559018623891,0.0,0.0,6.666666666666666,6.12105368156551,26.5,26.498688,838.1477050375659
0.9259575291288067,10.0,154.4133708970593,-3.622035960501356,0.0,0.0,7.303921568627451,6.266798440135906,29.08,24.998661,862.8610212230387
-2.6274251790410297,10.0,154.4133708970593,0.12742517904102968,0.0,0.0,7.5,6.887227066459516,27.72,23.99909,856.7060877594104
3.2778707208692968,10.0,154.4133708970593,-5.5817922894967476,0.0,0.0,7.696078431372549,6.955537833448283,27.03,23.99909,881.1231354505145
-2.5097514329080233,10.0,154.4133708970593,-0.9216211161115844,0.0,0.0,6.568627450980392,7.6071383952353475,27.62,25.198042,833.9378432135697
1.8216291232981057,10.0,154.4133708970593,-4.664766378200066,0.0,0.0,7.1568627450980395,6.850055443185981,33.18,25.998234,865.6461918376092
-8.968282278862528,10.0,154.4133708970593,6.7623999259213505,0.0,0.0,7.794117647058823,9.441186926631872,34.21,26.498688,798.8700143906817
-3.1456277853379015,10.0,154.4133708970593,-0.628882018583667,0.0,0.0,6.2254901960784315,10.0,35.75,26.498688,797.3594836572671
-4.767120162156757,10.0,154.4133708970593,0.5514338876469544,0.0,0.0,5.784313725490197,5.989835453310523,32.52,27.198523,786.4516649851633
-9.764203295022577,10.0,154.4133708970593,6.038713098944147,0.0,0.0,6.2745098039215685,4.28268230524263,32.01,26.791737,775.7156910740498
-9.665184170297294,10.0,154.4133708970593,6.1357724055914105,0.0,0.0,6.470588235294118,4.260149454743075,31.23,26.791737,789.0245243264337
-9.617120768473379,10.0,154.4133708970593,5.695552141022398,0.0,0.0,6.078431372549019,4.255719745582633,31.19,26.999144,780.2972610286432
-5.1161464372313965,10.0,154.4133708970593,-0.9622849353176228,0.0,0.0,3.92156862745098,3.490875993856066,31.08,26.999144,741.4895245755329
-5.7518999701629285,10.0,154.4133708970593,-0.5716294416017771,0.0,0.0,3.676470588235294,3.301051145258656,31.21,27.49826,731.2446123047505
-3.389736885019653,10.0,154.4133708970593,-3.571047428705838,0.0,0.0,3.0392156862745088,1.108381670144319,31.3,27.49826,722.1838702143561
4.876669913365738,10.0,154.4133708970593,-12.082552266306916,0.0,0.0,2.794117647058823,7.003073460806859,33.58,27.49826,757.9896373906806
-0.3701012350289332,10.0,154.4133708970593,-6.443624255167146,0.0,0.0,3.186274509803921,2.577168753845389,34.05,34.048332,694.483620406437
-9.803547099544836,10.0,154.4133708970593,4.558449060329149,0.0,0.0,4.754901960784313,4.545749308840426,31.31,31.307873,762.2465099533615
-9.565257248967217,10.0,154.4133708970593,3.9770219548495707,0.0,0.0,4.411764705882353,4.819706915472006,30.95,26.999144,737.8117019769657
-9.865946605204039,10.0,154.4133708970593,4.571828958145215,0.0,0.0,4.705882352941176,1.894141248486184,30.58,25.998234,743.6390572570518
-10.0,10.0,154.4133708970593,4.5588235294117645,0.0,0.0,4.5588235294117645,3.638930768513486,30.28,25.998234,742.2015862647089
-3.210621890097137,10.0,154.4133708970593,-1.936436933432276,0.0,0.0,4.852941176470588,5.3827122260226625,29.46,26.798426,780.0018426358424
-9.53268822108144,10.0,154.4133708970593,5.120923515199086,0.0,0.0,5.588235294117647,5.803159163311808,29.07,25.998234,782.4999466397669
-7.5168737111299055,10.0,154.4133708970593,2.2717756719142184,0.0,0.0,4.754901960784313,6.555449996974758,28.28,28.280098,778.1490754673522
-3.1914814894504113,10.0,154.4133708970593,-0.9261655693731186,0.0,0.0,5.882352941176471,7.3725076932987825,28.34,23.900389,813.8979225849072
0.7230501503920478,10.0,154.4133708970593,-5.036775640588127,0.0,0.0,5.686274509803921,3.863716219064202,28.47,23.900389,826.6845660482371
0.8938653511530132,10.0,154.4133708970593,-7.315433978603994,0.0,0.0,3.5784313725490193,5.258987922743868,28.11,23.900389,776.765062610814
0.6189742464566779,10.0,154.4133708970593,-8.511131109201775,0.0,0.0,2.107843137254902,0.5726953040848091,28.7,24.362045,736.896227172389
-1.5782587348042343,10.0,154.4133708970593,-6.6080157749996875,0.0,0.0,1.8137254901960782,1.327100897351587,28.8,24.362045,720.0415961487417
-8.9854830738805,10.0,154.4133708970593,0.8482281719197147,0.0,0.0,1.8627450980392148,0.446115524479801,30.62,25.500795,672.9752263854845
-9.758793526585446,10.0,154.4133708970593,2.062715095212896,0.0,0.0,2.30392156862745,2.6746156546635556,37.6,25.664049,612.4872100593265
