p_DA,p_H,p_IM,p_IM_abs,xi,h_H,E_RE,z_on,z_sb,z_off,z_su,lambda_DA_RE,lambda_IM
-8.251484399910824,10.0,0.0,0.0,0.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,0.0,0.0
-9.312616196683338,10.0,0.0,0.0,0.0,154.41337089705934,10.0,1.0,0.0,0.0,0.0,0.0,0.0
-10.0,10.0,0.0,0.0,0.0,154.41337089705934,9.901960784313726,1.0,0.0,0.0,0.0,0.0,0.0
-8.950169283141074,10.0,0.0,0.0,0.0,154.41337089705934,8.382352941176471,1.0,0.0,0.0,0.0,0.0,0.0
-10.0,10.0,0.0,0.0,0.0,154.41337089705925,8.872549019607842,1.0,0.0,0.0,0.0,0.0,0.0
-10.0,10.0,0.0,0.0,0.0,154.41337089705934,9.901960784313726,1.0,0.0,0.0,0.0,0.0,0.0
-7.0450644291700275,10.0,0.0,0.0,0.0,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,0.0,0.0
-9.044582270712326,10.0,8.99556266286919,9.205334031719035,0.0,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,37.43,37.422493
2.8548173752452097,10.0,-2.903836983088345,9.205334031719035,0.0,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,48.06,45.425812
7.0964989068974305,10.0,-7.145518514740567,9.205334031719035,0.0,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,50.74,44.926273
-9.254353639562176,10.0,9.205334031719035,9.205334031719035,0.0,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,48.11,44.979843
-9.301428407566009,10.0,9.252408799722867,9.252408799722867,0.04707476800383148,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,48.66,45.425812
-5.876196036640897,10.0,5.827176428797761,9.205334031719035,0.0,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,49.94,44.426735
5.166192799582304,10.0,-5.215212407425439,9.205334031719035,0.0,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,47.26,44.426735
5.591443397857552,10.0,-5.640463005700688,9.205334031719035,0.0,154.41337089705934,9.950980392156865,1.0,0.0,0.0,0.0,50.93,44.990559
8.764157561130796,10.0,-9.205334031719032,9.205334031719035,0.0,154.41337089705934,9.558823529411764,1.0,0.0,0.0,0.0,52.38,48.19001
-0.9027910660328615,7.84886078233314,0.8480479307585451,9.205334031719035,0.0,122.85923130245914,7.794117647058823,1.0,0.0,0.0,0.0,56.01,47.805649
-9.999999999999998,9.27505812514371,9.205334031719033,9.205334031719035,0.0,143.77950911381456,8.480392156862745,1.0,0.0,0.0,0.0,56.95,48.420361
-7.322581329824578,9.61675523245054,7.215630018942665,9.205334031719035,0.0,148.79171759129514,9.509803921568627,1.0,0.0,0.0,0.0,55.39,48.98954
-9.589637678612629,10.0,7.9719906197891,9.205334031719035,0.0,154.41337089705934,8.382352941176471,1.0,0.0,0.0,0.0,54.9,48.98954
3.521197579112066,10.0,-8.178060324210106,9.205334031719035,0.0,154.41337089705934,5.3431372549019605,1.0,0.0,0.0,0.0,53.86,48.919899
-0.5483705552141647,10.0,-5.284962778119168,9.205334031719035,0.0,154.41337089705934,4.166666666666667,1.0,0.0,0.0,0.0,52.71,48.919899
3.1917887758291332,10.0,-8.387867207201683,9.205334031719035,0.0,154.41337089705934,4.803921568627451,1.0,0.0,0.0,0.0,52.09,48.420361
3.1916934713556118,10.0,-7.358360138022277,9.205334031719035,0.0,154.41337089705934,5.833333333333334,1.0,0.0,0.0,0.0,50.76,46.090076
2.257647139517829,10.0,-4.5125491003021425,9.205334031719035,0.0,154.41337089705934,7.745098039215686,1.0,0.0,0.0,0.0,42.91,51.967861
4.188873040629442,10.0,-6.443775001413756,9.205334031719035,0.0,154.41337089705934,7.745098039215686,1.0,0.0,0.0,0.0,45.22,51.967861
3.310274955348941,10.0,-6.986745543584235,9.205334031719035,0.0,154.41337089705934,6.323529411764706,1.0,0.0,0.0,0.0,48.31,51.967861
1.5159356532326136,10.0,-4.408092515977711,9.205334031719035,0.0,154.41337089705934,7.1078431372549025,1.0,0.0,0.0,0.0,48.4,48.388348
3.967271643108968,10.0,-7.986879486246223,9.205334031719035,0.0,154.41337089705934,5.980392156862745,1.0,0.0,0.0,0.0,48.79,48.778038
1.2445836812735624,10.0,-5.803407210685328,9.205334031719035,0.0,154.41337089705934,5.441176470588235,1.0,0.0,0.0,0.0,45.92,45.908268
0.48667981247644043,10.0,-5.290601381103891,9.205334031719035,0.0,154.41337089705934,5.196078431372549,1.0,0.0,0.0,0.0,51.07,51.057247
-9.544752397057694,10.0,5.574164161763576,9.205334031719035,0.0,154.41337089705934,6.029411764705882,1.0,0.0,0.0,0.0,53.91,50.987614
-0.7118288310798633,10.0,-4.239151561076996,9.205334031719035,0.0,154.41337089705934,5.049019607843137,1.0,0.0,0.0,0.0,61.76,50.987614
-0.2527827862279448,9.858428547585003,-6.223292820180587,9.205334031719035,0.0,152.33671991351287,3.382352941176471,1.0,0.0,0.0,0.0,60.03,50.454636
0.4143626240670546,9.409416368641429,-7.225739777022209,9.205334031719035,0.0,145.75035262603063,2.598039215686274,1.0,0.0,0.0,0.0,58.19,49.487782
1.9697768106116111,9.637518005421148,-9.205334031719033,9.205334031719035,0.0,149.0962778128303,2.401960784313725,1.0,0.0,0.0,0.0,61.47,50.987614
-8.772924900153495,10.0,1.0278268609378074,9.205334031719035,0.0,154.41337089705934,2.254901960784313,1.0,0.0,0.0,0.0,62.0,61.9846
-5.174532506562997,10.0,-2.472526316966415,9.205334031719035,0.0,154.41337089705934,2.352941176470588,1.0,0.0,0.0,0.0,63.12,52.97757
-2.5494573413736807,10.0,-5.391719129214554,9.205334031719035,0.0,154.41337089705934,2.058823529411764,1.0,0.0,0.0,0.0,63.67,50.959492
-0.313724589527861,10.0,-7.431373449687826,9.205334031719035,0.0,154.41337089705934,2.254901960784313,1.0,0.0,0.0,0.0,66.13,50.454636
-6.072747068337989,6.975240359922958,1.3033890613562074,9.205334031719035,0.0,110.04446760189165,2.205882352941176,1.0,0.0,0.0,0.0,68.41,50.587212
-7.339585317238759,7.519593015140993,1.38861975307816,9.205334031719035,0.0,118.02934349015283,1.5686274509803921,1.0,0.0,0.0,0.0,69.55,51.463005
0.3906442341164014,8.367344512583921,-6.846224040817971,9.205334031719035,0.0,130.46464701311996,1.911764705882352,1.0,0.0,0.0,0.0,65.67,65.653831
-1.180389361370347,10.0,-7.93725769745318,9.205334031719035,0.0,154.41337089705934,0.8823529411764699,1.0,0.0,0.0,0.0,61.51,61.494476
-7.856370707260019,10.0,-1.1142175280340993,9.205334031719035,0.0,154.41337089705934,1.029411764705882,1.0,0.0,0.0,0.0,57.6,57.585537
-9.355858793697596,10.0,0.09115291134465386,9.205334031719035,0.0,154.41337089705934,0.735294117647058,1.0,0.0,0.0,0.0,54.44,54.426514
-2.846297320094186,10.0,-6.957624248533265,9.205334031719035,0.0,154.41337089705934,0.19607843137254902,1.0,0.0,0.0,0.0,52.09,47.987949
0.7739614826994217,10.0,-9.20533403171903,9.205334031719035,0.0,154.41337089705934,1.5686274509803921,1.0,0.0,0.0,0.0,49.98,45.408772
1.8987327542985266,10.0,-8.27128177390637,9.205334031719035,0.0,154.41337089705934,3.627450980392157,1.0,0.0,0.0,0.0,49.87,46.777542
2.519563019617387,10.0,-6.392112039225229,9.205334031719035,0.0,154.41337089705934,6.127450980392157,1.0,0.0,0.0,0.0,47.97,47.96529
4.004672361065094,10.0,-7.09290765518274,9.205334031719035,0.0,154.41337089705934,6.911764705882353,1.0,0.0,0.0,0.0,47.07,47.065441
8.209068001252284,10.0,-9.042401334585618,9.205334031719035,0.0,154.41337089705934,9.166666666666666,1.0,0.0,0.0,0.0,46.94,48.286667
7.564699001227977,10.0,-8.888228412992683,9.205334031719035,0.0,154.41337089705934,8.676470588235293,1.0,0.0,0.0,0.0,47.0,48.424591
7.837785615157349,10.0,-8.671118948490683,9.205334031719035,0.0,154.41337089705934,9.166666666666666,1.0,0.0,0.0,0.0,46.91,46.904751
0.44040060808678483,10.0,-0.8325574708318833,9.205334031719035,0.0,154.41337089705934,9.607843137254902,1.0,0.0,0.0,0.0,50.87,52.494007
-9.104048099835605,10.0,8.515812805717957,9.205334031719035,0.0,154.41337089705934,9.411764705882351,1.0,0.0,0.0,0.0,53.99,53.984386
2.5754366874378487,10.0,-3.702887667830007,9.205334031719035,0.0,154.41337089705934,8.872549019607842,1.0,0.0,0.0,0.0,54.44,54.434311
9.346896997490703,10.0,-10.27826954651031,10.278269546510316,1.072935514791281,154.41337089705934,9.068627450980392,1.0,0.0,0.0,0.0,54.18,48.788815
0.27580111493930026,10.0,-1.1091344482726342,9.205334031719035,0.0,154.41337089705934,9.166666666666666,1.0,0.0,0.0,0.0,53.9,48.788815
-9.144143187237091,10.0,7.918652991158658,9.205334031719035,0.0,154.41337089705934,8.774509803921568,1.0,0.0,0.0,0.0,53.01,48.286667
-6.955433115828974,10.0,5.877001743279955,9.205334031719035,0.0,154.41337089705934,8.92156862745098,1.0,0.0,0.0,0.0,51.74,46.777542
7.058665826904427,10.0,-11.32337170925737,11.323371709257373,2.1180376775383376,154.41337089705934,5.735294117647058,1.0,0.0,0.0,0.0,51.6,45.770565
1.3299014518150973,10.0,-8.24166615769745,9.205334031719035,0.0,154.41337089705934,3.088235294117647,1.0,0.0,0.0,0.0,51.41,44.995247
4.1563144238758944,10.0,-9.205334031719032,9.205334031719035,0.0,154.41337089705934,4.950980392156863,1.0,0.0,0.0,0.0,51.69,44.995247
5.0929864162017475,10.0,-8.279260926005668,9.205334031719035,0.0,154.41337089705934,6.813725490196079,1.0,0.0,0.0,0.0,52.59,46.777542
