p_DA,p_H,p_IM,h_H,E_RE,z_on,z_sb,z_off,z_su,lambda_DA_RE,lambda_IM
10.0,10.0,-14.166666666666666,154.41337089705934,5.833333333333334,1.0,0.0,0.0,0.0,50.76,46.090076
-9.999999999999995,10.0,7.745098039215681,154.41337089705934,7.745098039215686,1.0,0.0,0.0,0.0,42.91,51.967861
-9.999999999999995,10.0,7.745098039215681,154.41337089705934,7.745098039215686,1.0,0.0,0.0,0.0,45.22,51.967861
-9.999999999999995,10.0,6.3235294117647,154.41337089705934,6.323529411764706,1.0,0.0,0.0,0.0,48.31,51.967861
10.0,10.0,-12.892156862745097,154.41337089705934,7.1078431372549025,1.0,0.0,0.0,0.0,48.4,48.388348
10.0,10.0,-14.019607843137255,154.41337089705934,5.980392156862745,1.0,0.0,0.0,0.0,48.79,48.778038
10.0,10.0,-14.558823529411764,154.41337089705934,5.441176470588235,1.0,0.0,0.0,0.0,45.92,45.908268
10.0,10.0,-14.803921568627452,154.41337089705934,5.196078431372549,1.0,0.0,0.0,0.0,51.07,51.057247
10.0,10.0,-13.970588235294118,154.41337089705934,6.029411764705882,1.0,0.0,0.0,0.0,53.91,50.987614
10.0,10.0,-14.950980392156863,154.41337089705934,5.049019607843137,1.0,0.0,0.0,0.0,61.76,50.987614
10.0,10.0,-16.61764705882353,154.41337089705934,3.382352941176471,1.0,0.0,0.0,0.0,60.03,50.454636
10.0,10.0,-17.401960784313726,154.41337089705934,2.598039215686274,1.0,0.0,0.0,0.0,58.19,49.487782
10.0,10.0,-17.598039215686274,154.41337089705934,2.401960784313725,1.0,0.0,0.0,0.0,61.47,50.987614
10.0,10.0,-17.745098039215687,154.41337089705934,2.254901960784313,1.0,0.0,0.0,0.0,62.0,61.9846
10.0,10.0,-17.647058823529413,154.41337089705934,2.352941176470588,1.0,0.0,0.0,0.0,63.12,52.97757
10.0,10.0,-17.941176470588236,154.41337089705934,2.058823529411764,1.0,0.0,0.0,0.0,63.67,50.959492
10.0,10.0,-17.745098039215687,154.41337089705934,2.254901960784313,1.0,0.0,0.0,0.0,66.13,50.454636
10.0,10.0,-17.794117647058822,154.41337089705934,2.205882352941176,1.0,0.0,0.0,0.0,68.41,50.587212
10.0,10.0,-18.431372549019606,154.41337089705934,1.5686274509803921,1.0,0.0,0.0,0.0,69.55,51.463005
10.0,10.0,-18.08823529411765,154.41337089705934,1.911764705882352,1.0,0.0,0.0,0.0,65.67,65.653831
10.0,10.0,-19.11764705882353,154.41337089705934,0.8823529411764699,1.0,0.0,0.0,0.0,61.51,61.494476
10.0,10.0,-18.97058823529412,154.41337089705934,1.029411764705882,1.0,0.0,0.0,0.0,57.6,57.585537
10.0,10.0,-19.264705882352942,154.41337089705934,0.735294117647058,1.0,0.0,0.0,0.0,54.44,54.426514
10.0,10.0,-19.80392156862745,154.41337089705934,0.19607843137254902,1.0,0.0,0.0,0.0,52.09,47.987949
10.0,10.0,-18.431372549019606,154.41337089705934,1.5686274509803921,1.0,0.0,0.0,0.0,49.98,45.408772
10.0,10.0,-16.372549019607842,154.41337089705934,3.627450980392157,1.0,0.0,0.0,0.0,49.87,46.777542
